id,num_quarto,id_cliente,ano,mes,semana
R0001,109,C006,2025,5,5
R0002,114,C020,2025,7,2
R0003,115,C018,2025,12,2
R0004,112,C010,2025,7,3
R0005,108,C029,2025,9,4
R0006,102,C008,2025,4,1
R0007,106,C001,2025,10,5
R0008,104,C019,2025,4,1
R0009,102,C023,2025,11,1
R0010,104,C003,2025,1,3
R0011,102,C017,2025,4,3
R0012,111,C016,2025,4,5
R0013,103,C024,2025,10,5
R0014,108,C008,2025,8,4
R0015,104,C004,2025,2,4
R0016,106,C014,2025,7,4
R0017,114,C024,2025,1,1
R0018,101,C013,2025,12,3
R0019,113,C028,2025,2,2
R0020,104,C007,2025,9,4
R0021,103,C014,2025,3,3
R0022,108,C008,2025,2,4
R0023,113,C028,2025,9,1
R0024,101,C021,2025,9,1
R0025,102,C030,2025,4,2
R0026,107,C016,2025,8,2
R0027,114,C013,2025,1,2
R0028,107,C001,2025,7,3
R0029,115,C026,2025,8,3
R0030,107,C023,2025,12,5
R0031,111,C023,2025,8,2
R0032,104,C010,2025,4,1
R0033,110,C024,2025,9,1
R0034,112,C011,2025,1,1
R0035,110,C016,2025,9,5
R0036,103,C002,2025,9,1
R0037,114,C006,2025,2,5
R0038,102,C022,2025,4,4
R0039,102,C029,2025,10,2
R0040,110,C020,2025,1,5
R0041,102,C014,2025,11,5
R0042,110,C017,2025,6,3
R0043,104,C022,2025,12,3
R0044,104,C009,2025,7,2
R0045,111,C021,2025,5,4
R0046,106,C030,2025,2,1
R0047,108,C020,2025,10,1
R0048,102,C018,2025,4,5
R0049,105,C005,2025,6,1
R0050,115,C008,2025,6,3
R0051,103,C015,2025,9,3
R0052,110,C026,2025,11,5
R0053,101,C022,2025,9,3
R0054,115,C022,2025,2,2
R0055,105,C004,2025,2,5
R0056,103,C009,2025,5,5
R0057,104,C023,2025,6,2
R0058,111,C021,2025,5,5
R0059,108,C009,2025,1,1
R0060,111,C014,2025,5,1
R0061,101,C011,2025,3,3
R0062,103,C024,2025,8,5
R0063,112,C014,2025,9,1
R0064,102,C003,2025,12,2
R0065,109,C002,2025,6,5
R0066,109,C005,2025,7,2
R0067,101,C010,2025,6,1
R0068,115,C012,2025,4,2
R0069,111,C004,2025,6,5
R0070,115,C028,2025,7,5
R0071,112,C005,2025,4,2
R0072,113,C026,2025,3,4
R0073,101,C006,2025,12,3
R0074,113,C030,2025,7,2
R0075,105,C006,2025,12,1
R0076,107,C028,2025,1,4
R0077,104,C007,2025,8,3
R0078,105,C027,2025,4,2
R0079,101,C022,2025,4,4
R0080,106,C009,2025,2,3
R0081,106,C021,2025,9,4
R0082,111,C027,2025,9,3
R0083,101,C004,2025,5,2
R0084,110,C009,2025,1,1
R0085,110,C014,2025,6,3
R0086,107,C020,2025,9,1
R0087,107,C029,2025,10,2
R0088,105,C002,2025,12,4
R0089,101,C017,2025,9,2
R0090,106,C014,2025,2,3
R0091,110,C011,2025,11,1
R0092,112,C029,2025,5,5
R0093,105,C022,2025,7,3
R0094,107,C023,2025,5,5
R0095,103,C007,2025,7,4
R0096,111,C024,2025,3,5
R0097,110,C010,2025,7,5
R0098,114,C001,2025,5,3
R0099,104,C014,2025,10,5
R0100,111,C011,2025,8,4
R0101,108,C022,2025,4,5
R0102,108,C026,2025,12,2
R0103,111,C003,2025,5,5
R0104,111,C021,2025,10,3
R0105,102,C027,2025,4,3
R0106,104,C026,2025,4,2
R0107,101,C002,2025,4,4
R0108,110,C028,2025,2,4
R0109,107,C029,2025,11,5
R0110,104,C023,2025,12,4
R0111,108,C013,2025,4,2
R0112,111,C023,2025,1,1
R0113,113,C014,2025,4,2
R0114,113,C023,2025,9,4
R0115,101,C018,2025,4,1
R0116,108,C005,2025,8,5
R0117,109,C020,2025,6,4
R0118,110,C027,2025,12,5
R0119,107,C027,2025,9,4
R0120,115,C006,2025,12,4
