id,id_experiencia,tipo_cliente,ano,mes
V0001,E04,crianca,2025,4
V0002,E06,crianca,2025,9
V0003,E04,adulto,2025,5
V0004,E04,adulto,2025,12
V0005,E03,adulto,2025,5
V0006,E03,crianca,2025,9
V0007,E01,adulto,2025,3
V0008,E02,crianca,2025,12
V0009,E02,adulto,2025,2
V0010,E04,crianca,2025,6
V0011,E05,crianca,2025,7
V0012,E01,adulto,2025,7
V0013,E04,adulto,2025,10
V0014,E04,crianca,2025,1
V0015,E03,crianca,2025,7
V0016,E04,adulto,2025,8
V0017,E02,crianca,2025,7
V0018,E04,adulto,2025,7
V0019,E03,crianca,2025,12
V0020,E02,crianca,2025,3
V0021,E05,adulto,2025,7
V0022,E05,adulto,2025,2
V0023,E06,crianca,2025,3
V0024,E04,adulto,2025,1
V0025,E03,crianca,2025,6
V0026,E02,crianca,2025,6
V0027,E03,crianca,2025,5
V0028,E04,crianca,2025,2
V0029,E04,adulto,2025,12
V0030,E05,adulto,2025,6
V0031,E02,adulto,2025,11
V0032,E01,adulto,2025,4
V0033,E02,adulto,2025,10
V0034,E02,adulto,2025,3
V0035,E04,adulto,2025,10
V0036,E02,crianca,2025,12
V0037,E03,crianca,2025,3
V0038,E05,adulto,2025,3
V0039,E03,adulto,2025,10
V0040,E01,crianca,2025,10
V0041,E06,crianca,2025,7
V0042,E06,adulto,2025,2
V0043,E05,adulto,2025,2
V0044,E06,crianca,2025,11
V0045,E05,adulto,2025,10
V0046,E01,crianca,2025,9
V0047,E04,crianca,2025,2
V0048,E05,crianca,2025,1
V0049,E04,crianca,2025,2
V0050,E04,crianca,2025,11
V0051,E04,adulto,2025,7
V0052,E02,crianca,2025,10
V0053,E05,crianca,2025,8
V0054,E04,crianca,2025,6
V0055,E02,adulto,2025,5
V0056,E04,adulto,2025,8
V0057,E05,crianca,2025,6
V0058,E01,crianca,2025,6
V0059,E02,crianca,2025,4
V0060,E03,crianca,2025,6
V0061,E03,crianca,2025,9
V0062,E01,adulto,2025,2
V0063,E02,crianca,2025,8
V0064,E05,adulto,2025,12
V0065,E04,crianca,2025,8
V0066,E01,adulto,2025,5
V0067,E02,crianca,2025,12
V0068,E02,crianca,2025,11
V0069,E05,crianca,2025,8
V0070,E05,crianca,2025,7
V0071,E06,crianca,2025,6
V0072,E06,crianca,2025,5
V0073,E03,crianca,2025,4
V0074,E01,adulto,2025,6
V0075,E01,adulto,2025,4
V0076,E02,crianca,2025,5
V0077,E06,crianca,2025,2
V0078,E02,crianca,2025,4
V0079,E03,adulto,2025,5
V0080,E01,adulto,2025,5
V0081,E01,adulto,2025,9
V0082,E03,adulto,2025,11
V0083,E04,adulto,2025,1
V0084,E05,crianca,2025,8
V0085,E04,crianca,2025,6
V0086,E02,adulto,2025,5
V0087,E04,adulto,2025,2
V0088,E04,crianca,2025,2
V0089,E05,adulto,2025,3
V0090,E02,crianca,2025,2
V0091,E02,adulto,2025,9
V0092,E04,adulto,2025,9
V0093,E04,crianca,2025,8
V0094,E03,crianca,2025,5
V0095,E05,adulto,2025,10
V0096,E06,adulto,2025,4
V0097,E06,adulto,2025,5
V0098,E06,adulto,2025,3
V0099,E02,adulto,2025,9
V0100,E01,adulto,2025,1
V0101,E04,crianca,2025,12
V0102,E05,crianca,2025,5
V0103,E01,adulto,2025,5
V0104,E06,crianca,2025,12
V0105,E04,adulto,2025,11
V0106,E02,crianca,2025,11
V0107,E05,adulto,2025,7
V0108,E01,adulto,2025,11
V0109,E02,crianca,2025,3
V0110,E01,adulto,2025,3
V0111,E03,crianca,2025,8
V0112,E01,crianca,2025,12
V0113,E03,crianca,2025,5
V0114,E05,crianca,2025,8
V0115,E01,adulto,2025,7
V0116,E06,crianca,2025,10
V0117,E03,adulto,2025,2
V0118,E02,adulto,2025,11
V0119,E03,adulto,2025,3
V0120,E04,crianca,2025,5
V0121,E02,crianca,2025,11
V0122,E04,adulto,2025,8
V0123,E03,crianca,2025,6
V0124,E03,adulto,2025,3
V0125,E03,crianca,2025,12
V0126,E04,crianca,2025,11
V0127,E04,adulto,2025,8
V0128,E01,crianca,2025,5
V0129,E03,adulto,2025,7
V0130,E05,adulto,2025,11
V0131,E05,crianca,2025,7
V0132,E01,adulto,2025,9
V0133,E03,crianca,2025,11
V0134,E04,adulto,2025,4
V0135,E03,adulto,2025,5
V0136,E04,crianca,2025,2
V0137,E01,adulto,2025,12
V0138,E02,crianca,2025,9
V0139,E01,crianca,2025,2
V0140,E02,adulto,2025,8
V0141,E01,adulto,2025,8
V0142,E06,crianca,2025,9
V0143,E06,crianca,2025,7
V0144,E04,crianca,2025,4
V0145,E04,adulto,2025,7
V0146,E02,adulto,2025,2
V0147,E03,crianca,2025,6
V0148,E05,crianca,2025,1
V0149,E03,crianca,2025,10
V0150,E05,crianca,2025,3
